구별,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,범죄,검거
강남구,0.10256410256410264,0.2631578947368421,0.5250506781537146,0.41604966975693514,0.7475830830771333,0.7692307692307693,0.8571428571428571,0.77728285077951,0.42857142857142855,0.8648459383753502,3.697073844099915,2.054405428288728
강동구,0.08333333333333337,0.6140350877192982,0.5453204168585902,0.09426207085409954,0.3261816773491848,0.75,1.3333333333333333,0.7884615384615384,0.3334742180896027,0.8289085545722714,4.034177644456745,1.663132586114506
강북구,0.47619047619047616,0.31578947368421056,0.6089071856287424,0.42413998744576165,1.0,1.1428571428571428,0.9285714285714286,0.8235294117647058,0.4309623430962343,0.8863722159305398,4.212292542220051,2.825027122949191
강서구,0.47619047619047616,0.3684210526315789,0.43751571284911084,1.0,0.5444315870959322,1.1428571428571428,1.0,0.7290076335877863,0.601145038167939,0.8475210477081384,4.320530862321006,2.826558828767098
관악구,0.2222222222222222,0.4912280701754386,0.36791845995508987,0.0,0.0,0.8888888888888888,1.1666666666666667,0.690625,0.3056171470805617,0.8010915706488781,3.852889273284995,1.0813687523527507
광진구,0.33333333333333337,1.0,0.7777881736526943,0.3938447421346205,0.3445637603967686,1.0,1.8571428571428572,0.9166666666666666,0.42200925313945803,0.8304761904761905,5.026294967425172,2.8495300095174168
구로구,0.08333333333333337,0.17192982456140343,0.1739097427919961,0.25415842827874924,0.0901487528849696,0.75,0.7333333333333333,0.5836298932384342,0.38072805139186294,0.8087795144662454,3.256470792429876,0.7734800818504517
금천구,0.6666666666666666,0.3684210526315789,0.5806524368481579,0.8834049155065633,0.7453363204505852,1.3333333333333333,1.0,0.8079470198675497,0.5666879387364391,0.8646543330087634,4.572622624946085,3.244481392103552
노원구,0.33333333333333337,0.3684210526315789,0.22936487431228902,0.2017945943287709,0.6357254480484809,1.0,1.0,0.6142131979695431,0.3652530779753762,0.855306647080426,3.834772923025346,1.768639302654453
도봉구,0.33333333333333337,0.4502923976608187,0.9999999999999999,0.48744501092293446,0.8814351386049548,1.0,1.1111111111111112,1.0392156862745099,0.44967074317968014,0.8762609280430397,4.476258468608341,3.1525058805220416
동대문구,0.33333333333333337,0.3684210526315789,0.6458996746391609,0.3562656525599106,0.8551444165884661,1.0,1.0,0.8439306358381503,0.4109035840484604,0.8740188383045526,4.128853058191163,2.55906412975245
동작구,0.33333333333333337,0.04093567251461988,0.0,0.1651500480484447,0.34941670069129493,1.0,0.5555555555555556,0.48771929824561405,0.3544235924932976,0.830890052356021,3.2285884986504882,0.8888357545876928
마포구,0.33333333333333337,0.15789473684210525,0.6390191555664181,0.04257622346137735,0.5084427219598204,1.0,0.7142857142857143,0.8401360544217688,0.3181996086105675,0.8444518940663761,3.717073271384427,1.6812661711630545
서대문구,0.33333333333333337,0.22105263157894733,0.5756619877128858,0.3440203926515324,0.3647588831926605,1.0,0.8,0.8051948051948052,0.40728476821192056,0.8321984435797666,3.8446780169864923,1.8388272284693594
서초구,0.08333333333333337,0.12280701754385964,0.26449581752525464,0.3668844867773622,0.8611506598555216,0.75,0.6666666666666666,0.6335877862595419,0.4140417457305503,0.8745310546060858,3.3388272532628447,1.6986713150353314
성동구,0.33333333333333337,0.28654970760233917,0.8281561876247502,0.22293172241124015,0.7538996043403827,1.0,0.8888888888888888,0.9444444444444444,0.37149968886123214,0.8653846153846154,4.07021763757918,2.4248705553120455
성북구,0.33333333333333337,0.22105263157894733,0.6145958083832334,0.3705535302833005,0.45326721964431194,1.0,0.8,0.8266666666666667,0.4151260504201681,0.8397464916251698,3.8815392087120046,1.9928025232231263
송파구,0.24242424242424243,0.19838056680161947,0.5827265922700052,0.14532376108760192,0.5210086027135219,0.9090909090909091,0.7692307692307693,0.8090909090909091,0.3485643717196666,0.8455235204855842,3.6815004796178386,1.689863765296991
양천구,1.0,0.0,0.7022361526946107,0.16898035678205692,0.09375767615192743,1.6666666666666667,0.5,0.875,0.35555555555555557,0.8090872857712236,4.2063095079934465,1.9649741856285952
영등포구,0.19047619047619047,0.30143540669856456,0.24047244494062714,0.08236910228646255,0.3266368081546922,0.8571428571428571,0.9090909090909091,0.6203389830508474,0.3299595141700405,0.8289473684210527,3.5454796318757067,1.141389952556537
용산구,0.33333333333333337,0.3684210526315789,0.7326127384406443,0.24156744571586763,0.3532799434940763,1.0,1.0,0.8917525773195877,0.37700706486833657,0.8312195121951219,4.099979154383046,2.0292145136155004
은평구,0.33333333333333337,0.12280701754385964,0.6558126217444628,0.22284261194129318,0.798693573203801,1.0,0.6666666666666666,0.8493975903614458,0.3714733542319749,0.8692046739540144,3.7567422852141013,2.13348915776675
종로구,0.16666666666666674,0.2344497607655503,0.49921247552288783,0.26266424761325036,0.48119529966146324,0.8333333333333334,0.8181818181818182,0.7630331753554502,0.38324175824175827,0.8421282163105103,3.63991830142287,1.6441884502298185
중구,0.0,0.12280701754385964,0.29958832335329333,0.10662280084370068,0.9615541048047298,0.6666666666666666,0.6666666666666666,0.6529411764705882,0.33712715855573,0.8830935251798561,3.206495193539508,1.4905722465455835
중랑구,0.2564102564102565,0.2344497607655503,0.5507280892759935,0.2797477109240374,0.5201623592935931,0.9230769230769231,0.8181818181818182,0.7914438502673797,0.3882903981264637,0.8454513523006674,3.7664443419532523,1.8414981766694307
